KO_code	Compound_codes
K00180	
HOIL-1	
CD222	
K10112	
K10117	
K10118	
K10119	
AI316869	
K01652	C00022,C00022,C00068,C00068,C00022,C00068,C00022,C00068,C00022,C00022,C00022,C00022,C06010,C06010,C00022,C00022,C05125,C00109,C00022,C00022,C00109,C00109,C00109,C00109
lfactory_receptor_287	
AA672646	
zinc_finger_protein_619	
K04087	
V2rp1	
K04084	
K04088	
LIR-3	
ECF_family	
K01104	
K00981	C00416,C00416,C00416
K05592	
K01295	
T_cell_lymphoma_breakpoint_1	
MiRP2	
AU022200	
K05601	C00192
K00215	C20258,C20258,C20258,C03972,C20258,C20258,C20258,C20258,C03972,C20258
C-terminal_domain	
K02619	C11355
4631412O18Ri	
K02038	
K02039	
K04517	C00254,C00254,C01179,C00254,C00254
K01740	C01077,C01077,C00979
K01745	C00135,C00135
K01744	C00049,C00122
K02030	
K02031	
K05020	
K02033	
K02034	
K02035	
K02036	
K02037	
K16962	
K16961	
K01586	C00680,C00047,C00680,C00680,C00680
MSLP2	
AI843643	
K01588	C15667,C15667,C15667
solute_carrier_family_25	
K13653	
Ftna	
D330028K02Ri	
AI789753	
AI848508	
AW546258	
K03458	
K02103	
K03457	
K02055	
K02108	
2310008C07Ri	
Glc_family_(TC_4.A.1.1.2)	
K01639	C00270
K03856	C00279,C00074,C00279,C00074,C00279,C00074,C00074,C00279
K03523	
K03522	
K03525	C00831,C00864,C00864,C04079
K03524	C00120,C00120,C05921,C05921
K03527	C11811,C11811,C11811,C11811,C11811,C11811,C11811,C11811,C11811,C11811
K03529	
K02857	
K03671	
PcdhbP	
K09761	
K09765	
K02217	C14818
potassium_channel_tetramerization_domain_containing_9	
D630015G19	
K04083	
AW319193	
8430403M15Ri	
similar_to_zinc_finger_protein_11B	
K12308	C05796
K03292	
K03296	
K13479	C00262,C00262,C00385,C00385,C00385
K03073	
K03070	
K03076	
K03075	
Gm203	
K03079	C01101,C03291,C01101,C01101
K11654	
similar_to_MAP/microtubule_affinity-regulating_kinase_3_(EC:2.7.11.1)	
K08963	C04188,C04188
K03273	C11472,C07838,C19879
and_HSP90-like_ATPase.	
K06131	C00344,C00269,C00344,C00269,C00344,C00344
K06133	C03688,C00010
GLP1Rc	
C230002E15Ri	
alpha_1_polypeptide	
5730422L11Ri	
RecD/TraA_family_(EC:3.1.11.5)	
predicted_gene_15583	
AU040377	
4930504E06Ri	
AA409740	
K12452	C01219,C04297,C01219,C04297
K07192	
K09903	C00105,C00015
K16511	
B230210L08Ri	
K06917	
